,Name,Location,Brands
251,KIRNA ZABÊTE,"New York, United States","Adam Lippes, Bottega Veneta, Elder Statesman, Golden Goose, Gucci, Johanna Ortiz, Khaite, La DoubleJ, Loewe, Nili Lotan, Sacai, Saint Laurent, Silvia Tcherassi, Tibi, Zimmermann."
252,KOKON TO ZAI,"London, United Kingdom","Bernhard Willhelm, Gosha Rubchinskiy, KTZ, MP, Mad et Len, Rick Owens, Seletti"
253,KULT BOUTIQUE,"Limassol, Cyprus","Dolce & Gabbana, Etro, Givenchy, Gucci, Jimmy Choo, Maison Kitsuné, Miu Miu, Moncler, Prada, The Attico, Thom Browne, Victoria Beckham, Zegna"
254,L'ECLAIREUR,"Chennevières sur Marne, France","Ann Demeulemeester, Comme des Garçons, Gucci, Isaac Sellam, Maison Margiela, Monse, Natasha Zinko, Yohji Yamamoto"
255,L'ESPIONNE,"Paris, France","Ashish, Balmain, Dsquared², Givenchy, Kenzo, Lanvin, Moncler, Moschino, Off White, Rick Owens, Saint Laurent, Stella McCartney, Zanotti"
256,L’ESTHÈTE,"Lille, France","Alexander McQueen, Burberry, Givenchy, Kenzo, Moncler, Off-White, Palm Angels., Saint Laurent, Stone Island, Versace"
257,LA COMERCIAL,"Barcelona, Spain","Daniele Alessandrini, Essentiel, Isabel Marant étoilem, Karl Lagerfeld, Limitato, M Misonni, MM6, Paul Smith, Red Valentino, Versace Jeans Couture, john richmond"
258,LA FABRIC SHOP,"Nice, France","A-COLD-WALL, A.P.C., AMI PARIS, CARHARTT WIP, COMME DES GARCONS SHIRT, JW ANDERSON, MAISON KITSUNÉ, MAISON MARGIELA, MARNI, NEW BALANCE, OUR LEGACY, SUICOKE"
259,LA POMA LA PERA,"GIRON, Spain","Dsquared2, Emporio Armani, Herno, Karl Lagerfeld, Kenzo, Love Moschino, Michael Kors, Plein Sport, Premiata, Ugg, Versace Jeans"
260,LA VOLPE ROSSA,"Pisa, Italy","Bobo Choses, DSQUARED2, Diesel, Dolce & Gabbana, Ermano Scervino, Golden Goose Deluxe Brand, Herno, Il Gufo, MSGM, Moncler, N°21"
261,LABEL CLOTHING,"Nuneaton, United Kingdom","AMI, Balmain, DSquared2, Giuseppe Zanotti, Kenzo, Marcelo Burlon, Moncler, Neil Barrett, Off White, Palm Angels, Philipp Plein, Rick Owens, Stone Island, Versace, Yeezy"
262,LABELS,"Sittard, Netherlands","Boris Bidjan Saberi, Buscemi, Comme Des Garcons, Fear Of God, Gosha Rubchinskiy, Haider Ackermann, Isabel Marant, Juun.J, Loewe, Moncler, Off White, Raf Simons, Y-3 Yohji Yamamoto"
263,LAPIN HOUSE,"Kifissia, Greece","DSquarde2, Diesel, Moncler, Polo Ralph Lauren"
264,LARIZIA,"Leeds, United Kingdom","Alexander McQueen, Balenciaga, Isabel Marant and Ganni., Saint Laurent, Stella McCartney, The Attico"
265,LATTUADA,"Milan, Italy","Alberta Ferretti, Erika Cavallini, Golden Goose; Vivetta, Jil Sander, MSGM, Marni, Mary Katrantzou, Missoni; Max Mara, Opening Ceremony, Red Valentino, Sacai, Stella Jean, Stella McCartney, Versus Versace, Victoria Beckham, forte forte"
266,LAUFSTEG,"Augsburg, Germany","AMI, Amiri, Balenciaga, DSquared2, Givenchy, Golden Goose Deluxe Brand, Maison Margiela, Moncler, Neil Barrett, Off-White, Paul Smith, Saint Laurent, Stone Island, Y-3"
267,LAYERS,"London, United Kingdom","Balmain, DRKSHDW and Lilies by Rick Owens, Damir Doma, Devoa, Gareth Pugh, Guidi, Helmut Lang, Isaac Sellam, Jean Paul Gaultier"
268,LE 22 LUNETIER,"Paris, France","Garett Leigh, Jacques Marie Mages, John Dalia, Oliver Peoples, Victoria Beckham"
269,LE BLOCK BY SOLIS,"Lyon, France","AMI Paris, Attachment, Comme Des Garcons Parfums, Comme Des Garcons Play, Comme Des Garcons Shirt, Comme Des Garcons Wallets, Homme Plisse, Issey Miyake, Maison Martin Margiela, Maison Mihara Yasuhiro, Sacai, Undercover, Y-3"
270,LE GRAY BOUTIQUE,"Riyadh, Saudi Arabia","Acne Studios, Alexander Wang, Ami Paris, Amiri, Attico, Dris Van Noten, Dsquard2, Golden Goose, Greg Lauren, Heron Preston, Maison Margiela, Neil Barret, Off-White, Palm Angels, Raf Simons, Rick Owens, Sacai, Y-3"
271,LE LUNETIER MILANO,"Milan, Italy","Barton Perreira, Christian Roth, Epos, Eyepetizer, Illesteva, Kyme, LGR, Lindberg, Maison Margiela, Mykita, Snob Milano, So.Ya, Super by Retrosuperfuture"
272,LE NOIR,"Conegliano, Italy","Alaia, Balenciaga, Balmain, Capannolo, Chloé, Christian Louboutin, Golden Goose, Gucci, Lanvin, MSGM, Marc Jacobs, Saint Laurent, Valentino"
273,LE PRESENT,"GIRON, Spain","Acne Studios, Balenciaga, Bottega Veneta, Brunello Cucinelli, Celine, Chloé, Dior, Dolce & Gabbana, Kiton, Off-White, Rochas, Saint Laurent, Valentino, Yves Salomon"
274,LE9,"Perpignan, France","Alexander McQueen, Ami Paris, Autry, Balenciaga, Burberry, CP Company, Casablanca Paris, Dsquared2, ERL, Golden Goose, Isabel Marant, Kenzo, Maison Margiela, Moncler, Off-White, Rhude, Stone island"
275,LEAM,"Rome, Italy","Alexander Wang, Balmain, Dolce & Gabbana, Emanuel Ungaro, Fendi, Giuseppe Zanotti, Golden Goose Deluxe, Marcelo Burlon, Mary Katrantzou, Moncler Gamme Bleu, Proenza Schouler, Roberto Cavalli, Saint Laurent, Stella Jean, Stella McCartney, Valentino Garavani"
276,LEIDMANN,"Munich, Germany","Anna Karin Karlsson, Chrome Hearts, DITA, Linda Farrow, MYKITA, Onono, Ralph Vaessen, Thom Browne"
277,LEIGH'S,"Grand Rapids, United States","Alexander McQueen, Aquazzura, Barbara Bui, Carven, Cinq a Sept, Co, MSGM, Nili Lotan, Proenza Schouler, Raquel Allegra, Stella McCartney"
278,LEISURE CENTER,"Vancouver, Canada","Amiri, Ann Demeulemeester, Balenciaga, Comme des Garçons, Comme des Garçons Homme Plus, Guidi, Heron Preston, Loewe, Maison Margiela, Palm Angels, Rick Owens, Yohji Yamamoto, Zimmermann"
279,LEONI,"Forli, Italy","Alanui, Autry, Balmain, Dsquared2, ETRO, Golden Goose, Jimmy Choo, Marc Jacobs, Marni, Max Mara, Moncler, Proenza Schouler, The Attico, Versace"
280,LES MARKET,"Stockholm, Sweden","Adidas SLVR, Alexander Wang, Avelon, Damir Doma, Damir Doma-Silent, Henrik Vibskov, Iro, J Dauphin, Kris Van Assche, Local Firm, Minimarket, Odeur, Rick Owens, Rick Owens-DRKSHDW, Rodebjer, T By Alexander Wang, V Ave Shoe Repair, Yvonne Kone"
281,LEVEL SHOES,"Dubai, U.A.E.","Adidas, Alexander McQueen, Amina Muaddi, Aquazzura, Balenciaga, Bottega Veneta, Burberry, By Far, Chanel, Christian Dior, Common Projects, Gucci, Jacquemus, Louis Vuitton, Malone Souliers, Nike, Prada"
282,LIDIA SHOPPING,"Rodigo, Italy","Burberry, Celine, Dolce & Gabbana, Dsquared2, Giorgio Armani, Givenchy, Gucci, Kenzo, Moncler, Moschino, Off-White, Salvatore Ferragamo, Versace"
283,LINDA MENDES,"Guimaraes, Portugal","Agnona, Alexander MCQueen, Anya Hindmarch, Brian Atwood, Casadei, Chloé, Christopher Kane and Tods ., Dolce&Gabbana, Dsquared2, Emilio Pucci, Fendi, Givenchy, Hogan, Kenzo, Lanvin, Maison Michel, Nicholas Kirkwood, Pierre Hardy, Proenza Schouler, Saint Laurent, Sergio Rossi, Sophia Webster, Stouls Paris, Tory Burch, Versace, Victoria Beckham"
284,LINDNER FASHION,"Dortmund, Germany","Acne Studios, American Vintage, Carven, Current/Elliott, DVF Diane Von Furstenberg, Helmut Lang, Jerome Dreyfuss, Kenzo, MSGM, Missoni, Philippe Model"
285,LINEA ITALIANA,"Arosio, Italy","ALEXACHUNG, Alberta Ferretti, Alexandre Vauthier, Brunello Cucinelli, Charlotte Olympia, Equipment, Helmut Lang, J Brand, Jimmy Choo, Max Mara, Philosophy, Theory, adidas by Stella McCartney"
286,LISKA,"Vienna, Austria","Adam Jones, Alexander McQueen, Antonio Marras, Fendi, Givenchy, Petar Petrov, Saint Laurent, Salvatore Ferragamo, Valentino"
287,LM BAMBINI,"Sydney, Australia","Dolce & Gabbana Kids, Kenzo Kids, Stella McCartney, Sunuva, Valmax Kids, Velveteen"
288,LN-CC,"Piacenza, Italy","Aiezen, Ermenegildo Zegna, Hannah Jinkins, Lanvin, Marni, Raf Simons, Rick Owens, Saint Laurent, Telfar, The Autonomous Collections, Valentino, Yang Li"
289,LOPEZ,"Las Palmas, Spain - Canary Islands","Casadei, Cult Gaia, Just Cavalli, Karl Lagerfeld, Kenzo, Missoni, Moschino Boutique, Pedro García, Roberto Cavalli, Schutz, See by Chloé, Stuart Weitzman, Y-3"
290,LORENZETTI,"Madonna di Campiglio, Italy","Bottega Veneta, Brunello Cucinelli, Burberry, Christian Dior, Dolce Gabbana, Gianvito Rossi, Gucci, Moncler, Prada, Saint Laurent, Stella Mc Cartney, Tod's, Versace"
291,LOSCHI,"Treviso, Italy","Alexander McQqueen, Balenciaga, Balmain, Bottega Veneta, Bulgari, Celine, Chloé, Church's, Courreges, Dolce & Gabbana, Dsquared2, Emilio Pucci, Ermanno Scervino, Fendi, Givenchy, Gucci, Isabel Marant, Jimmy Choo, Kenzo, Miu Miu, Moncler, Off-White, Prada, Proenza Schouler, Stella McCartney, Tom Ford, Valentino, Versace"
292,LOTHAIRE,"Bordeaux, France","Balenciaga, Brunello Cucinelli, Corneliani, Dsquared2, Golden Goose, Kenzo, Lardini, Moncler, Saint Laurent, Valentino"
293,LOWET,"Bilzen, Belgium","Brioni, Brunello Cucinelli, Canali, Etro, Fabiana Filippi, Hogan Missoni Home., Jacob Cohen, Missoni, Santoni, Tod's"
294,LTD EDITION,"Porto, Portugal","Alexander McQueen, Bally, Balmain, Elie Saab, Giorgio Armani, Giuseppe Zanotti, Jil Sander, Lily Kamper, Rosantica, Salvatore Ferragamo, Valentino, Vita Fede"
295,LUCIANA,"Bari, Italy","Alexander Wang, Brunello Cucinelli, Jil Sander, Marc Jacobs, Michael Kors, Proenza Schouler., Tory Burch"
296,LUDIVINE,"New York, United States","Auralee, Emilia Wickstead, Gabriela Hearst, Giuliva Heritage, Ines et Marechal, Loretta Caponi, Maison Michel, Massimo Alba, Officine Génèrale., R13, Sir the label, Spencer Vladimir, The Elder Statesman"
297,LUIGI LOVES LUISA,"Limassol, Cyprus","7 For All Mankind, Brioni, Canada Goose, Corneliani, Emporio Armani, Hackett, Kiton, Pal Zileri, Paul Smith, Santoni, Tom Ford, Zadig & Voltaire"
298,LUISA WORLD,"Athens, Greece","Alexander McQueen, Balmain, Chloé, Emilio Pucci, Etro, Givenchy, Isabel Marant, Lanvin, Missoni, Moncler, Saint Laurent, Valentino"
299,LUUKS,"Amsterdam, Netherlands","A.F. Vandevorst, Faliero Sarti, Fiorentini + Baker, Free Lance, Maison Margiela, NDC made by hand, Numéro 10, Officine Creative, Premiata, Reinhard Planck, Roberto del Carlo, Rocco P, Sartore and Marsell"
300,The Bank,"London, United Kingdom","Antonio Berardi, Carven, Emilio Pucci, Ermanno Scervino, Guiseppe Zanotti Design, Hogan, Joseph, Michael Kors, Number 21, Paul Andrew, Plein Sud, Rochas, Tods, Yves Salomon"
301,THE BUSINESS FASHION,"Leicester, United Kingdom","Alexander McQueen, Balmain, Burberry, Givenchy, Jil Sander, Lanvin, Moncler, Rick Owens, Saint Laurent, Valentino, Versace, Yohji Yamamoto"
302,THE LISTENER,"Frankfurt, Germany","3.1 Phillip Lim, 424, Adidas x Alexander Wang, Comme des Garcons, Common Projects, Helmut Lang, Kenzo, Lemaire, Stone Island, Undercover, Visvim, Y-3"
303,THE MINT COMPANY,"Maspalomas, Spain - Canary Islands","Burberry, Canada Goose, Dsquared, Etro, Herno, Jimmy Choo, Kenzo, Moncler, Mulberry, Stella McCartney, Store Island, Versace, Yves Saint Laurent"
304,THE PLACE LONDON,"London, United Kingdom","Alice Archer, Herno, Ioanna Solea, Laurence Dacade, Mii, New Man, Pierre Louis Mascia, Repetto And Sofie D'Hoore., Saloni, Stouls, Ulla Johnson, Yves Salomon"
305,The Square Berlin,"Berlin, Germany","Alexander McQueen, Alexander Wang, Givenchy, Haider Ackermann, Isabel Marant, Kenzo, Lanvin, Moschino, Rick Owen, Saint Laurent, Stella McCartney, Valentino"
306,THE WEBSTER,"Miami Beach, United States","Attico, Balmain, Chloé, Givenchy, Haider Ackerman, J.W Anderson, Julien David, Junya Watanabe, Maison Margiela, Moncler, OAMC, Off-White, Pierre Hardy, Raf Simons, Saint Laurent, Sonia Rykiel, Thom Browne"
307,THECORNER.COM BIARRITZ,"Biarritz, France","ALEXANDER MCQUEEN, ALEXANDER WANG, BALMAIN, FENDI, GUCCI, KENZO, MAISON MARGIELA, MONCLER, SELF-PORTRAIT, STELLA MCCARTNEY, STONE ISLAND, THOM BROWNE, VALENTINO GARAVANI, ZIMMERMANN."
308,TIMINIS,"Limassol, Cyprus","Boss, Burberry, Camilla, Canali, Cult Gaia, Dsquared2, Herno, Hogan, Iceberg, Kenzo, MSGM, Paul & Shark, Polo Ralph Lauren"
309,TNT,"Toronto, Canada","3.1 Phillip Lim, Balmain, Brunello Cucinelli, Chloé, Comme des Garçons, Golden Goose Deluxe Brand, Isabel Marant, Kenzo, R13, The Row, Y’s"
310,MALTEMPI,"Castelleone, Italy","Alexander McQueen, Bottega Veneta, Brunello Cuccinelli, Burberry, Celine, Givenchy, Golden Goose Deluxe Brand, Jimmy Choo, Loro Piana, Saint Laurent"
311,MANCINI JUNIOR,"Bellizzi, Italy","Diesel, Dolce & Gabbana, Dondup, Dsquared2, Fay, Fendi, Gucci, Herno, MSGM, Moncler, Moschino, Paolo Pecora, Stella McCartney"
312,MANTOVANI,"San Giovanni Valdarno, Italy","Alexander McQueen, Brunello Cucinelli, Chloè, Comme des Garçon, Dolce & Gabbana, Givenchy, Kenzo, Lanvin, Marc Jacobs, Mary Katrantzou, Michael Kors, Moncler, Saint Laurent, Thom Browne, Valentino"
313,MARA CONCEPT STORE,"Avellino, Italy","Bonpoint, Burberry, Dondup, Dsquared, Fay, Gcds, Givenchy, Golden Goose, Marcelo Burlon, Moncler, Philosophy, Stone Island., k-way, msgm"
314,MARAIS,"Melbourne, Australia","Alexander McQueen, Alyx, Amiri, Balenciaga, Balmain, Celine, Givenchy, Heron Preston, Loewe, Maison Margiela, Mastermind, Off White, Palm Angels, Rick Owens"
315,MARANDINO,"Karlsruhe, Germany","AMI PARIS, ANINE BING, AUTRY, Alemais, Courrèges, Dsquared2, Ganni, Golden Goose, Isabel Marant, JW Anderson, Marni, Max Mara, Vince"
316,MARCOS,"Mondovì, Italy","Brunello Cucinelli, Burberry, DSquared2, Dolce & Gabbana, Golden Goose, Kenzo, Max Mara, Moncler, Moschino, Off-white, Salvatore Ferragamo, Stone Island, Thom Browne."
317,MARFRANC,"Platja d'Aro, Spain","Aspesi, Autry, CP Company, Dsquared2, Emporio Armani, Herno, KENZO, MM6 Maison Margiela, MSGM, Moschino Couture, Paul&Shark, Stone Island"
318,MARIA STORE,"Zagreb, Croatia","Asherali Knopfer, Chloé, Givenchy, Gucci, I.V.I., Linda Farrow, Loewe, Maison Michele, Moncler, Saint Laurent, Stella McCartney, Valentino, Vita Kin"
319,MARIO D'ANNA KIDS,"Caserta, Italy","Bonpoint, Burberry, Chloe, DSQUARED2, Dolce & Gabbana, Fay, Givenchy, Golden Goose Deluxe Brand, Gucci, Herno, MSGM, Marcelo Burlon, Moncler"
320,MARIO D'ANNA LUXURY,"Caserta, Italy","Balmain, Dsquared2, GCDS, Gucci, Heron Preston, Lanvin, Maison Margiela, Moschino, N°21, Off-White, Palm Angels, Philosophy, Rick Owens"
321,MARIO D'ANNA YOUNG,"Caserta, Italy","Balmain, Dsquared2, GCDS, Gucci, Heron Preston, Lanvin, Maison Margiela, Moschino, N°21, Off-White, Palm Angels, Philosophy, Rick Owens"
322,MARISSA COLLECTIONS,"Naples, United States","Balmain, Brunello Cucinelli, Cult Gaia, Dolce & Gabbana, Foundrae, Gigi Clozeau, Givenchy, Golden Goose, Irene Neuwirth, Orlebar Brown, RedLine, Sylva & Cie and more!"
323,MARKARIDE,"Sevilla, Spain","Balmain, Bao Bao, Canada Goose, DSquared2, Giuseppe Zanotti, Golden Goose, Heron Preston, Homme Plisse, Kenzo, M de Missoni., MM6 Maison Margiela, Moschino Couture, Palm Angels, Philipp Plein, Rick Owens, Stone Island"
324,MARTY,"Prato, Italy","Ann Demeulemeester, Comme des Garçons, Dolce & Gabbana, Givenchy, Junya Watanabe, Lanvin, MSGM, Maison Margiela, Marni, Rick Owens, Stone Island"
325,MAX-B,"Vigo, Spain","Chloé, Etro, Fendi, Isabel Marant, Lanvin, Loewe, Marni, Moncler, Stella McCartney, Valentino"
326,Maxim The 34,"Rimini, Italy","424, Ambush, Calvin Klein Jeans Est. 1978, Dries Van Noten, Eckhaus Latta, GCDS, GmbH, Marques Almeida, Needles, Our Legacy, Suicoke, Telfar Global, Versace, Wacko Maria"
327,MAYSONS,"Bedford, United Kingdom","Dsquared2, Giuseppe Zanotti, Kenzo, Moose Knuckles, Neil Barrett, Stone Island, Versace Jeans Couture"
328,MAYURKA,"Ibiza, Spain","3.1 Phillip Lim, Diane Von Furstenberg, Etro, Gianvito Rossi, Guiseppe Zanotti, Isabel Marant, Missoni, Stella McCartney, Valentino"
329,MDE,"Rome, Italy","ALEXANDRE VAUTHIER, ERMENEGILDO ZEGNA, LANVIN, LEMAIRE, MM6 MAISON MARGIELA, PROENZA SCHOULER, R13, READYMADE., RICK OWENS, YOHJI YAMAMOTO, ZIGGY CHEN"
330,MEDITERRANEO,"La Spezia, Italy","Alexander McQueen, Balmain, Dsquared2, Fendi, Givenchy, Golden Goose Deluxe Brand, Jimmy Choo, Kenzo, Marcelo Burlon, Moschino, Off White, Palm Angels, Stella McCartney, Valentino, Y-3"
331,MEDITERRANEO KIDS,"La Spezia, Italy","Burberry, Chloè, Dolce & Gabbana, Fendi, Gucci, Kenzo, Lanvin, Marcelo Burlon, Moncler, Philipp Plein, Stella McCartney, Versace, Vivetta"
332,MEGUSTA,"Utrecht, Netherlands","11 by Boris Bidjan Saberi, ALYX, Alexander Wang, Comme des Garcons Play, Faith Connexion, Hood by Air, J brand, Kenzo, MISBHV, Marcelo Burlon, Off-white, Palm Angels, Rick Owens, Rick Owens X Adidas, Unravel Project, Y-3, Y/Project"
333,MENGOTTI,"Bucharest, Romania","Dsquared², Etro, Fendi, Michael Kors, Moncler, Neil Barrett, Saint Laurent"
334,MICHAEL MEYER KAMPEN,"Kampen, Germany","Bottega Veneta, Chloé, Fendi, Givenchy, Moncler, Saint Laurent, Stella McCartney"
335,MICHAEL MEYER KITZBUEHEL,"Kitzbuhel, Austria","Burberry, Celine, Chloe, DSquared2, Dior, Dolcegabbana, Ganni, Givenchy, Loewe, Valentino, Zimmermann"
336,MICHAEL MEYER KLEVE,"Kleve, Germany","Gucci, Juvia, Luisa Cerano, Prada"
337,MICHELE FRANZESE,"Sant'Anastasia, Italy","Alexander McQueen, Amina Muaddi, Balmain Paris, Burberry, Dsquared2., Etro, Givenchy, Maison Margiela, Off-White, Saint Laurent, Stone Island, Thom Browne, Tom Ford"
338,MIMMA NINNI,"Bari, Italy","Antonio Marras, Burberry, Christopher Kane, Courrèges, Edun, Giambattista Valli, Halston, Jay Ahr, Jonathan Saunders, Junya Watanabe, Marchesa, Milly, Notify, Opening Ceremony, Oscar de la Renta, Paule Ka, Rick Owens, Roland Mouret, Simonetta Ravizza, Sylvie Schimmel, The Row, Walter Voulaz"
339,MINETTI,"Casale Monferrato, Italy","Brunello Cucinelli, Burberry, Dolce & Gabbana, Fendi, Givenchy, Jil Sander, Saint Laurent, Stella Mccartney, Thom Browne, Tom Ford, Valentino, Versace."
340,MINI,"Madrid, Spain","A.P.C, AMI by Alexandre Mattiussi, CMMN-SWDN, Comme des Garçons Shirt, Engineered Garments, Gosha Rubchinskyi, Maison Kitsune, Maison Margiela, Our Legacy, SNS-Herning"
341,MINOX BOUTIQUE,"Oxford, United Kingdom","ACNE Studios, Bally, Fornasetti, GGDB, GUIDI, JW Anderson, Jil Sander, Marni, MaxMara, Moschino, Rene Caovilla, Stuart Weitzman, Thom Browne"
342,MISS BABY ASSELTA,"Bari, Italy","Burberry Kids, Chloé Kids, Dolce & Gabbana Kids, Fay Kids, Golden Goose Deluxe Brand Kids, Herno Kids, Il Gufo, K-Way Kids, Marcelo Burlon County of Milan Kids, Moncler Kids, Moschino Kids, Ralph Lauren Kids"
343,MODA IN,"Chiasso, Switzerland","Burberry, Chloé, Golden Goose Deluxe Brand, Herno, Isabel Marant, Moncler, Moncler Gamme Rouge, Parosh, Saint Laurent, Theory, Tory Burch, Valentino, Zanellato"
344,MODA404,"Atlanta, United States","Anthony Peto, Antony Morato, Artistix, Daniel Patrick, Diesel, Gods Masterful Children, Golden Denim, Haculla, Iceberg, Kollar, MHRS, Moschino, Profound, Rockstar Jeans, Ron Tomson, Serenede, Vivienne Westwood"
345,MODE DE VUE,"Paris, France","Courreges Vintage, Cutler & Gross, Linda Farrow"
346,MODE MIGNON,"Lucca, Italy","Balenciaga, Burberry, Celine, Chloè, Dolce & Gabbana, Fendi, Givenchy, Gucci, Loewe, Max Mara., Miu Miu, Prada, Stella Mc Cartney"
347,MODE WAGENER,"Baden-Baden, Germany","Bogliolo, Brioni, Brunello Cucinelli, Burberry, Dorothee Schumacher, Etro, Ganni, Gucci, Herno, Isabel Marant., Loro Piana, Moncler, Off-White, Stefano Ricci"
348,MODES FRANCE,"Paris, France","Bode, Casablanca, Comme Des Garçons, Dries Van Noten, ERL, Jacquemus, Jil Sander, Lanvin, Marine Serre, Raf Simons, Rick Owens, Stone Island, The Attico"
349,MODES ST. MORITZ,"St. Moritz, Switzerland","ALEXANDER McQUEEN, AMINA MUADDI, BONPOINT, CASABLANCA, COMME DES GARÇONS, DRIES VAN NOTEN, GANNI, JACQUEMUS, JIL SANDER, LANVIN, MAISON MARGIELA, MARINE SERRE, MARNI, MINI RODINI, OFF-WHITE, RAF SIMONS, RICK OWENS, SAINT LAURENT, SELF-PORTRAIT, THE ATTICO, VALENTINO, VERSACE."
350,MOLIERA 2,"BLONIE, Poland","Alexandre Vauthier, Amina Muaddi, Aquazzura, Coperni, Gianvito Rossi, Isabel Marant, Love Shack Fancy, Moncler, One Teaspoon, Palm Angels, Philipp Plein, The Attico, Tory Burch"
351,MONOCLE,"Rome, Italy","8000 Eyewear, Ahlem, Chrome Hearts, Claustrum, Dita, Jacques Marie Mage, Kuboraum, Linda Farrow, Masunaga, Matsuda, Meo Fusciuni Parfum, Monocle Eyewear, Mykita, Retrosuperfuture, Rigards, Thom Browne"
352,MONTI,"Cesena, Italy","Alexander Wang, Burberry, Chloé, Comme des Garçons, Dolce & Gabbana, Fendi, Kenzo, Lanvin, MSGM, Michael Kors, Proenza Schouler, Saint Laurent, Salvatore Ferragamo, Stella McCartney, Valentino"
353,MOOI FASHION,"Tivat, Montenegro","Celine, Chloe, Dita Eyewear, Equipment, Eres, Eugenia Kim, Isabel Marant, Local Authority, Marni, N21, Rochas, Saint Laurent, Thom Browne Eyewear"
354,MOOON,"Wiesbaden, Germany","Agnona, Fabiana Filippi, Frame, Givenchy, Helmut Lang, Isabel Marant, JBrand, Joseph, Kenzo, L.S.P, Marni, N°21, Plein Sud, Roland Mouret, See by Chloe, Steffen Schraut"
355,MORE IS LOVE,"TBILISI, Georgia","0711, Aleksandre Alkhalkatsishvili, Anna October, Awake, Dalood, Edeline Lee, Flow The Label, Gwen Salakaia, LALO, Lemaire, Neous, Nino Babukhadia Paskal, Steven Tai, Tatuna Nikolaishvili"
356,MOSSI,"Santiago de Compostela, Spain","Car Shoe by Prada, Karl Lagerfeld, Marc Jacobs, MaxMara Weekend, Michael Kors, Oof Wear, See by Chloé, among others."
357,MRKT US,"Miami, United States","1017 Alyx 9SM, A-Cold-Wall*, Enfants Richés Deprimés, Martine Rose, Neil Barrett, Pierre-Louis Mascia, Raf Simons, Rhude., Vetements"
358,MY O MY,"Helsinki, Finland","Adidas by Stella McCartney, Alexander Wang, Barena Venezia, Carven, Gitman Vintage, Mismo, S.N.S. Herning, Sonia by Sonia Rykiel, Stella McCartney, Sunspel, Theory, Tsumori Chisato, Universal Works, Vince"
359,MYGEMMA,"New York, United States","Bottega Veneta, Breitling, Cartier, Chanel, Gucci, Hermes, Louis Vuitton, Omega, Patek Philippe, Rolex, Tag Heuer, Tiffany & Co., Van Cleef & Arpels"
360,NATACHA,"Biarritz, France","Aquazzura, Burberry, Canada Goose, Diane Von Furstenberg, Drome, Elisabetta Franchi, Emilio Pucci, Ganni, Hogan, Issey Miyake, Karl Lagerfeld, Marni, Miu Miu, Prada, Sonia Rykiel, Theory, Tod's, Tory Burch, Valentino."
361,NEW SIX,"Guimaraes, Portugal","Cafuné, Charlotte Knowles, GMBH, Joshua Sanders., Martine Rose, Pannyy, Stefan Cooke, Toga Pulla, Toga Virilis"
362,NEWFOUND LUXURY,"Charlotte, United States","Pre-Owned Chanel Runway, Pre-Owned Chanel of the 1990's, Pre-Owned Dior, Pre-Owned Hermes, Pre-Owned Louis Vuitton"
363,NEWSEUM,"Nuernberg, Germany","1017 ALYX 9SM, AMI, Acne Studios, Brain Dead, Comme des Garcons, Dries Van Noten, Ignored Prayers., JW Anderson, MISBHV, Rassvet, Stone Island, Stüssy, Undercover"
364,NIBA SRL,"Perugia, Italy","Alexander Mcqueen, Balmain, Burberry, Dolce & Gabbana, Lanvin, MSGM, Miu Miu, Neil Barrett, Philipp Plein, Prada, Rick Owens, Salvatore Ferragamo, Versace, Y-3, Zegna"
365,NIDA,"Caserta, Italy","Aspesi, Boglioli, Burberry, Dolce & Gabbana, Eleventy, Fendi, Givenchy, Golden Goose Deluxe Brand, Gucci, Herno, Jacquemus, MSGM, Moncler, P.A.R.O.S.H, Rick Owens, Salvatore Ferragamo, Stella McCartney, Stone Island, Tory Burch, Y3, Zanellato"
366,NINNA NANNA,"Pescara, Italy","Burberry, Chiara Ferragni, Diesel, Dsquared2, Elisabetta Franchi, Hogan, Kenzo, Marcelo Burlon, Moncler, Monnalisa, Moschino, Pinko, Stone Island, Woolrich"
367,NORTH42,"Peterborough, Canada","Charlotte Olympia, Dsquared², Emanuel Ungaro, Lanvin, Moschino, Nicholas Kirkwood, Ralph Lauren Black, Roberto Cavalli, Valentino"
368,NOTENOM,"Barcelona, Spain","Comme des Garçons, Dsquard2, MSGM, Moschino, Neil Barret, Robert Clergerie, Sonia Rykiel"
369,NUBIAN,"JOSO SHI, Japan","Acne Studious, Ambush, Doublet, Elvira, Facetasm, Fear Of God, Gosha Rubchinskiy, Heron Preston, M+Rc Noir, Maison Margiela, Marcelo Burlon, Needles, Off-White, Palm Angels, Places+Faces, Rick Owens, Sasquatchfabrix, Takahiromiyashitathesoloist, Unused, Y-3, Yeezy Season, Yohji Yamamoto"
370,NUGNES 1920,"Trani, Italy","3.1 Philip Lim, Alexander Wang, Andrea Pompilio, Cheap Monday, Comme des Garçons Play, Dr Martens, Kenzo, Maison Kitsuné, Marc Jacobs, Michael Kors, Moncler, Neil Barrett, Nike, Salvatore Ferragamo"
371,NUIR VINTAGE,"SHIBUYA KU, Japan","Pre-Owned CHANEL, Pre-Owned Céline, Pre-Owned Dior, Pre-Owned FENDI, Pre-Owned Gucci, Pre-Owned HERMÈS, Pre-Owned Louis Vuitton, Pre-Owned Prada"
