,Name,Location,Brands
46,BELLA DONNA,"Regensburg, Germany","AMI, ATM Anthony Thomas Melillo, Acne Studios, Alexandre Birman, Balmain, Frame, Galvin, Ganni, Helmut Lang, Maison Kitsuné, Nili Lotan, No.21, Victoria Beckham"
47,BENESCH,"Augsburg, Germany","Balenciaga, Dolce & Gabbana, Givenchy, Miu Miu, Moncler, Prada, Saint Laurent, Valentino"
48,BERNARDELLI,"Mantova, Italy","Comme des Garçons, Emilio Pucci, Giuseppe Zanotti Design, Issey Miyake, Junya Watanabe, Lanvin, Maison Margiela, Mary Katrantzou, Moncler, Moschino, Saint Laurent, Sofie D'Hoore, Stuart Weitzman, Valentino"
49,BIFFI BOUTIQUES,"Milan, Italy","Alexander McQueen, Alexander Wang, Charlotte Olympia, Christopher Kane, Comme des Garçons, Emilio Pucci, Equipement, Ermanno Scervino, Lanvin, Marni, Moncler, Moncler Gamme Bleu"
50,BIRBA'S,"Pordenone, Italy","Alberta Ferretti, Alexander McQueen, Dolce & Gabbana, Forte Forte, Kenzo, Lanvin, MSGM, Marni, Moschino, Sacai, Stella Jean, Stella McCartney, Valentino"
51,BLACKOUT,"Prague, Czech Republic","Ann Demeulemeester, DRKSHDW, Isabel Benenato, Kristensen  Du Nord, Marsell, Officine Creative, Rick Owens, Rosa Maria, Rundolz, Transit"
52,BLONDIE,"Ligure, Italy","Carven, DSQUARED2, Dolce & Gabbana, Givenchy, MSGM, Maison Margiela, Moncler, Rick Owens, Saint Laurent, Stella McCartney"
53,BLU BOUTIQUE LUGANO,"Lugano, Switzerland","Balenciaga, Calvin Klein, Celine, Christian Dior, Christian Louboutin, Givenchy, Max Mara, Roger Vivier, Saint Laurent, Stella McCartney, The Row, Thom Browne, Valentino"
54,BON BON,"Verona, Italy",MONCLER - IL GUFO - STELLA MCCARTNEY - EMPORIO ARMANI - ALBERTA FERRETTI - COMME DES GARCONS PLAY - MSGM - MONNALISA - DSQUARED 2 - MC2 SAINT BARTH - C.P. COMPANY - BOBO CHOSES - TINY COTTONS.
55,Bonvicini,"Montecatini Terme, Italy","Alexander McQueen, Balmain, Brunello Cucinelli, Burberry, Charlotte Olympia, Chiara Ferragni, DSQUARED2, Dolce & Gabbana, Fendi, Giorgio Armani, Givenchy, Lanvin, Proenza Schouler, Tod's"
56,BOUNTY,"Santa Cruz de Tenerife, Spain - Canary Islands","Balenciaga, Burberry, Canada Goose, Celine, Chloé, Dior, Dolce & Gabbana, Fendi, Givenchy, Gucci, Moncler, Off-White, Palm Angels, Prada, Saint Laurent, Stone Island, Valentino, Vetements, Y3 Yamamoto Raf Simons"
57,BOUTIQUE ANTONIA,"Riccione, Italy","Ann Demeulemeester, Dolce & Gabbana, Gianluca Capannolo, Gianvito Rossi, Lanvin, Maison Margiela, Mary Katrantzou, Moschino, P.A.R.O.S.H, Philipp Plein, Repetto, Roberto Cavalli, Saint Laurent, Salvatore Ferragamo, Santoni"
58,BOUTIQUE ANTONIA LAGE,"Braga, Portugal","Antwomancollection, Diane Von Furstenberg, Edward Achour Paris, Ermanno Firenze, Momoni, Philosophy di Lorenzo Serafini, Saraco Paris, Scotch and Soda, Self Portrait, Zadig et Voltaire"
59,BOUTIQUE DOS RELOGIOS,"Lisbon, Portugal","Beguet, Blancpain, Breitling, Brumani, De Grisogono, HYT, Hubot, Jaquet Droz, Mattia Cielo, Omega, Piaget"
60,BOUTIQUE GALIANO ACANFORA,"Sorrento, Italy","Alexander Wang, Charlotte Olympia, DSQUARED2, Dolce & Gabbana, Duvetica, Giuseppe Zanotti, Golden Goose Deluxe Brand, Hogan, Lanvin, Marc Jacobs, Neil Barrett, Philipp Plein, Saint Laurent"
61,BOUTIQUE MANTOVANI,"Carate Brianza, Italy","Alexander McQueen, Balmain, Brunello Cucinelli, Comme des Garçon, Dolce & Gabbana, Etro, Fendi, Givenchy, Juun J, Lanvin, Mary Katrantzou, Moncler, Saint Laurent, Thom Browne, Valentino Garavani"
62,BOUTIQUE OFF WHITE,"Montpellier, France","Altewaisaome, Dodo Bar Or, Frame Denim, Iosselliani, Jean Paul Knott, Kristensen Du Nord, Noon by Noor, Suzusan, Teija, Zeus + Dione"
63,BOUTIQUE TRICOT,"Chianciano Terme, Italy","3.1 Phillip Lim, Acne Studios, Alexander McQueen, Alexander Wang, Balenciaga, Bally, Balmain, Brunello Cucinelli, Burberry, Chloé, Céline, Dolce & Gabbana, Elisabetta Franchi, Fendi, GCDS, Giorgio Armani, Givenchy, Golden Goose, Gucci, Isabel Marant, Jimmy Choo, Longchamp, Maison Margiela, Marc Jacobs, Missoni, Miu Miu, Moncler, Off-White, Palm Angels, Prada, Saint Laurent, Salvatore Ferragamo, Stone Island, Thom Browne, Twin-Set, Valentino, Veja, Versace, Vetements."
64,BRANDCO PARIS,"Dublin, Ireland","Balenciaga, Bottega Veneta, Burberry, Celine, Chanel, Dior, Fendi, Goyard, Gucci, Hermès, Louis Vuitton, Prada, Yves St-Laurent"
65,BRATFISCH,"Giessen, Germany","Brunello Cucinelli, Canada Goose, Dorothee Schumacher, Dsquared2, ETRO, Herno, Hogan, Jacob Cohen, Moncler, Santoni, See by Chloé, Self Portrait, Stone Island"
66,BRIGITTE BR,"São Paulo, Brazil",Brigitte
67,BRUNA ROSSO,"Cuneo, Italy","Balenciaga, Burberry, Celine, Chloe, Dior, Dolce&Gabbana, Fendi, Givenchy, Gucci, Loewe, Moncler, Saint Laurent, Versace"
68,BUGATTI DONNA,"Udine, Italy","Alexander Wang, Isabel Marant, Lanvin, Marni, Moncler Gamme Rouge"
69,BUGATTI UOMO,"Udine, Italy","Alden, Boglioli, Cruciani, Drumohr, Duvetica, Edwin, MP Massimo Piombo, MSGM, Moncler Gamme Bleu, Moncler W, Paul Smith, Sacai, Salvatore Piccolo, Stutterheim"
70,BUNGALOW-GALLERY,"Stuttgart, Germany","AMI, Chloé, Dolce & Gabbana, Lacoste Live, Lanvin, Maison Margiela, Moncler, Paul Smith, Saint Laurent, Saturdays Surf NYC, Stella McCartney, The White Briefs"
71,BURRESI,"Wiesbaden, Germany","Ami Paris, Celine, Chloe, Dries van Noten, Golden Goose, Hogan, MSGM, Moncler, Off-White., Philippe Model, Prada, Saint Laurent, Santoni, Stone Island, Tod´s, Valentino, by far"
72,CACCIAPUOTI BOUTIQUE,"Giugliano, Italy","Burberry, Chloè, Dsquared2, Givenchy, Golden Goose, Kenzo, Marcelo Burlon, Moncler, Moschino, Msgm, Neil Barrett"
73,CALLISTO,"Baden-Baden, Germany","Balmain, Bottega Veneta, Céline, Dior, Dolce & Gabbana., Fendi, Givenchy, Gucci, Prada, Saint Laurent"
74,CAMMISOTTOJR,"Taurianova, Italy","Alberta Ferretti, Alexander McQueen, Balmain, Burberry, Dior, Dolce & Gabbana, Dsquared2, Fendi, Givenchy, Gucci, Philipp Plein, Stone Island, Versace."
75,CAPOSERIO,"Cefalu, Italy","BALMAIN, BURBERRY, GOLDEN GOOSE, HOGAN., KENZO, MARCELO BURLON, MOCLER, MOSCHINO, OFF-WHITE, PALM ANGELS, POLO RALPH LAUREN, STONE ISLAND, WOOLRICH"
76,CAPRICCI,"Bari, Italy","Alberta Ferretti, Balmain, Burberry, Chloe, Dsquared, Fendi, Golden Goose, Herno, Il Gufo, Moncler, Moschino, Philosophy, Versace"
77,CAPSULE BY ESO,"Lyon, France","Diesel Black Gold, Givenchy, Moschino, Paul & Joe, Pierre Balmain, Vivienne Westwood"
78,CARA,"Limassol, Cyprus","Alberta Ferretti, Elie Saab, Hervé Léger, Jil Sander, Maison Margiela, Moncler, Mugler, Paul Smith"
79,CARINA KINDERMODE,"Berlin, Germany","Aletta, Cherie, Dior, Dolce Gabbana Kids, Il Gufo, Moncler Kids, Monnalisa, Scervino, Tartine et Chocolat"
80,CAROFIGLIO JUNIOR,"Cosenza, Italy","Burberry Kids, Dolce & Gabbana Kids, Dsquared2 Kids, Kenzo Kids, MSGM Kids, Marni Kids, Moschino Kids"
81,CASA FRUMOASA,"Bucharest, Romania","3.1 Phillip Lim, Alexander McQueen, Alexander Wang, Christopher Kane, Fausto Puglisi, Loro Piana, MSGM, Marcelo Burlon, No21, Pierre Balmain, Rochas, Stone Island Shadow"
82,CASA MODA,"Steyr, Austria","Acne, Balenciaga, Bottega Veneta, Cruciani, DSquared2, Dolce & Gabbana, Eton, Etro, Ganni, Gucci, Heart of Ace, Helmut Lang, JBrand, Jacob Cohen, Majestic, Missoni, Moncler, Norma Kamali, Phil Petter, Prada, Saint Laurent, Santoni, Stone Island, Theory, Thom Krom, Tom Ford, Valentino, Victoria Beckham."
83,CAVALLI E NASTRI,"Milan, Italy","Biki, Chanel, Comme des Garçons, Gianfranco Ferré, Hermès, Issey Miyake, Jean Paul Gaultier, Maison Margiela, Moschino, Pucci, Valentino, Versace, Yves Saint Laurent"
